Zreal ,-Zimag,electrode
731.4592,17.21092,"a1"
733.1179,18.89057,"a1"
670.545,22.90655,"a1"
670.9963,30.15344,"a1"
674.8796,40.83828,"a1"
680.1465,56.98395,"a1"
685.7172,81.45402,"a1"
691.6504,118.6076,"a1"
699.0453,178.1389,"a1"
711.1273,271.5516,"a1"
725.5099,398.9191,"a1"
758.6494,647.2569,"a1"
812.313,971.901,"a1"
919.1851,1511.056,"a1"
1105.318,2272.611,"a1"
1452.72,3428.039,"a1"
2059.353,5068.994,"a1"
3117.934,7363.855,"a1"
4842.599,10396.52,"a1"
7615.011,14494.69,"a1"
146.6567,12.43966,"a2"
149.5969,15.43661,"a2"
152.2943,19.79792,"a2"
155.4103,26.50777,"a2"
158.712,36.07602,"a2"
162.6357,50.88002,"a2"
166.6685,73.86377,"a2"
170.8292,109.295,"a2"
176.6915,166.188,"a2"
185.283,254.6441,"a2"
197.365,375.631,"a2"
222.8587,611.7441,"a2"
261.5045,922.6973,"a2"
337.917,1445.596,"a2"
470.6889,2198.566,"a2"
724.5949,3366.884,"a2"
1183.745,5080.328,"a2"
2018.943,7570.165,"a2"
3451.491,11015.26,"a2"
5944.142,15715.55,"a2"
189.362,30.12404,"a6"
198.6486,38.65496,"a6"
209.309,50.6443,"a6"
220.3016,64.11073,"a6"
235.4996,82.99258,"a6"
253.0976,109.8799,"a6"
267.9385,149.2207,"a6"
281.4738,211.3336,"a6"
300.6684,314.3834,"a6"
328.1167,475.7275,"a6"
373.5601,696.0006,"a6"
471.6618,1117.771,"a6"
621.8043,1652.783,"a6"
941.6998,2500.963,"a6"
1526.283,3587.018,"a6"
2460.798,5146.447,"a6"
3967.81,7072.501,"a6"
6408.546,9071.245,"a6"
9624.67,10679.58,"a6"
13271.25,12008.97,"a6"
159.381,12.98669,"a8"
161.8067,16.04488,"a8"
164.3087,20.6893,"a8"
167.524,27.95775,"a8"
170.929,38.7682,"a8"
175.8295,54.70543,"a8"
179.391,79.33413,"a8"
183.9058,117.6054,"a8"
189.0815,179.4578,"a8"
197.0448,276.2783,"a8"
207.6631,409.1206,"a8"
241.466,669.9395,"a8"
290.1479,1010.299,"a8"
382.6797,1583.668,"a8"
537.4428,2409.53,"a8"
847.8836,3682.679,"a8"
1371.46,5544.519,"a8"
2362.907,8231.184,"a8"
3931.45,12048.09,"a8"
6495.295,17545.95,"a8"
174.1341,15.64058,"a10"
177.1239,18.37586,"a10"
180.3062,23.65889,"a10"
184.0146,30.32986,"a10"
187.9061,40.52096,"a10"
192.3526,56.65222,"a10"
198.111,81.65388,"a10"
202.9698,120.2948,"a10"
209.1442,182.5426,"a10"
217.9916,279.6213,"a10"
230.8334,412.763,"a10"
259.059,673.1686,"a10"
300.6914,1016.689,"a10"
383.2927,1594.82,"a10"
528.4778,2425.284,"a10"
797.4584,3721.162,"a10"
1280.507,5629.58,"a10"
2146.365,8430.833,"a10"
3539.996,12516.41,"a10"
6298.011,17948.8,"a10"
